SnowToday Calculated SWE Summary Data : 2024-03-05
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Alexander Lake,61.7500,-150.8900,48.8,24.1,NaN,NaN,0.0,USAK,HUC19,NaN
American Creek,64.7900,-141.2300,320.0,12.7,NaN,NaN,0.0,USAK,HUC19,NaN
Anchor River Divide,59.8600,-151.3200,503.8,31.5,119.0,96.0,0.0,USAK,HUC19,NaN
Anchorage Hillside,61.1100,-149.6700,634.0,30.7,NaN,NaN,0.0,USAK,HUC19,NaN
Bettles Field,66.9200,-151.5300,195.1,18.8,129.0,101.0,0.0,USAK,HUC19,NaN
Chisana,62.0700,-142.0500,1011.9,8.4,NaN,NaN,0.0,USAK,HUC19,NaN
Coldfoot,67.2500,-150.1800,317.0,11.9,84.0,70.0,0.0,USAK,HUC19,NaN
Cooper Lake,60.3900,-149.6900,365.8,47.8,144.0,117.0,0.5,USAK,HUC19,NaN
East Palmer,61.6000,-149.1000,70.1,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Exit Glacier,60.1900,-149.6200,121.9,42.4,NaN,NaN,0.0,USAK,HUC19,NaN
Fairbanks F.O.,64.8500,-147.8000,137.2,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Fielding Lake,63.2000,-145.6300,914.4,23.4,NaN,NaN,0.0,USAK,HUC19,NaN
Flower Mountain,59.4000,-136.2800,765.0,70.1,NaN,NaN,0.0,USAK,HUC19,NaN
Frostbite Bottom,61.7500,-149.2700,823.0,39.6,NaN,NaN,0.5,USAK,HUC19,NaN
Galena AK,64.7000,-156.7100,125.0,15.2,NaN,NaN,0.5,USAK,HUC19,NaN
Grandview,60.6100,-149.0600,335.3,58.9,100.0,71.0,-0.5,USAK,HUC19,NaN
Granite Crk,63.9400,-145.4000,378.0,10.9,119.0,97.0,0.0,USAK,HUC19,NaN
Grouse Creek Divide,60.2600,-149.3400,213.4,42.7,116.0,102.0,0.0,USAK,HUC19,NaN
